Name;Position;Team;Geburtsdatum;Bild
Enoch Owusu;Mittelfeldspieler;FC St.Gallen 1879;2005-01-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837452_115447110.png
Corsin Konietzke;Mittelfeldspieler;FC St.Gallen 1879;2006-06-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837407_115447065.png
Mihailo Stevanovic;Mittelfeldspieler;FC St.Gallen 1879;2002-01-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837567_115447225.png
Andrin Hunziker;Stürmer;FC St.Gallen 1879;2003-02-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5809673/media_119032069_118644649.png
Aliou Balde;Stürmer;FC St.Gallen 1879;2002-12-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837316_115446974.png
Malamine Efekele;Stürmer;FC St.Gallen 1879;2004-07-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837550_115447208.png
Diego Besio;Stürmer;FC St.Gallen 1879;2006-06-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837451_115447109.png
Jorge Rans;Stürmer;FC St.Gallen 1879;2006-12-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5809673/media_119032100_118644681.png
Nevio Scherrer;Stürmer;FC St.Gallen 1879;2008-04-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5430242/media_115837569_115447227.png
Niklas Steffen;Torwart;FC Thun;2001-01-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155499_114764847.png
Dario Wälti;Torwart;FC Thun;2006-01-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155409_114764757.png
Tim Spycher;Torwart;FC Thun;2004-04-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155524_114764872.png
Leo Stucki;Torwart;FC Thun;2007-12-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155405_114764755.png
Olivier Mambwa;Verteidiger;FC Thun;2008-12-05;
Genís Montolio;Verteidiger;FC Thun;1996-07-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155439_114764787.png
Nicolas Bürgy;Verteidiger;FC Thun;1995-08-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155491_114764839.png
Ashvin Balaruban;Verteidiger;FC Thun;2001-08-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155404_114764751.png
Jan Bamert;Verteidiger;FC Thun;1998-03-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155444_114764792.png
Marco Bürki;Verteidiger;FC Thun;1993-07-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155460_114764808.png
Mats Seiler;Verteidiger;FC Thun;2005-08-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5632231/media_117246690_116856720.png
Lucien Dähler;Verteidiger;FC Thun;2001-03-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155452_114764800.png
Fabio Fehr;Verteidiger;FC Thun;2000-01-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155436_114764784.png
Louis Passavant;Verteidiger;FC Thun;2006-03-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5629817/media_117205263_116815290.png
Fabio Saiz;Mittelfeldspieler;FC Thun;2001-03-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5629817/media_117205264_116815291.png
Nassim Zoukit;Mittelfeldspieler;FC Thun;2001-04-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155470_114764818.png
Mattias Käit;Mittelfeldspieler;FC Thun;1998-06-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155461_114764809.png
Patrik Kristal;Mittelfeldspieler;FC Thun;2007-11-12;
Justin Roth;Mittelfeldspieler;FC Thun;2000-10-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155403_114764752.png
Tom Strannegård;Mittelfeldspieler;FC Thun;2002-04-29;
Dorian Derbaci;Mittelfeldspieler;FC Thun;2006-03-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155431_114764779.png
Nico Maier;Mittelfeldspieler;FC Thun;2000-07-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155487_114764835.png
Adam Ilic;Mittelfeldspieler;FC Thun;2008-05-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/3732165/media_85709519_85314090.png
Amir Maaroufi;Mittelfeldspieler;FC Thun;2005-11-03;
Nils Reichmuth;Mittelfeldspieler;FC Thun;2002-02-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155506_114764854.png
Leon Grando;Mittelfeldspieler;FC Thun;2006-09-04;
Furkan Dursun;Stürmer;FC Thun;2005-03-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155406_114764754.png
Riccardo Braschi;Stürmer;FC Thun;2006-08-24;
Noah Christoffersson;Stürmer;FC Thun;1999-05-11;
Marc Gutbub;Stürmer;FC Thun;2003-02-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155459_114764807.png
Simon Lengen;Stürmer;FC Thun;2006-09-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155509_114764857.png
Brighton Labeau;Stürmer;FC Thun;1996-01-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5406077/media_115155407_114764753.png
Benjamin Büchel;Torwart;FC Vaduz;1989-07-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541807_114150874.png
Tim-Tiado Öhri;Torwart;FC Vaduz;2003-12-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541826_114150893.png
Leon Schaffran;Torwart;FC Vaduz;1998-07-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541830_114150897.png
Nico Föllmi;Torwart;FC Vaduz;2005-06-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541860_114150927.png
Nicolas Hasler;Verteidiger;FC Vaduz;1991-05-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541808_114150875.png
Liridon Berisha;Verteidiger;FC Vaduz;1997-09-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541899_114150966.png
Denis Simani;Verteidiger;FC Vaduz;1991-10-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541965_114151032.png
Mischa Beeli;Verteidiger;FC Vaduz;2004-02-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541846_114150913.png
Niklas Lang;Verteidiger;FC Vaduz;2002-06-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541880_114150947.png
Malik Sawadogo;Verteidiger;FC Vaduz;2003-07-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541956_114151023.png
Luca Celentano;Verteidiger;FC Vaduz;2006-10-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5681584/media_117908513_117518592.png
Dominik Schwizer;Mittelfeldspieler;FC Vaduz;1996-06-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541970_114151037.png
Stephan Seiler;Mittelfeldspieler;FC Vaduz;2000-09-16;https://cdn.scoreplay.io/scoreplay-mam-media/322/5681584/media_117908514_117518594.png
Juan Cabrera;Mittelfeldspieler;FC Vaduz;2003-02-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541929_114150996.png
Lutfi Dalipi;Mittelfeldspieler;FC Vaduz;2006-05-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541866_114150933.png
Julian Stark;Mittelfeldspieler;FC Vaduz;2001-03-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5681584/media_117908537_117518616.png
Luca Mack;Mittelfeldspieler;FC Vaduz;2000-05-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541883_114150950.png
Mischa Eberhard;Mittelfeldspieler;FC Vaduz;2002-04-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541854_114150921.png
Mats Hammerich;Mittelfeldspieler;FC Vaduz;1998-02-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541909_114150976.png
Milos Cocic;Mittelfeldspieler;FC Vaduz;2003-06-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541895_114150962.png
Mattia Walker;Mittelfeldspieler;FC Vaduz;2005-02-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541943_114151010.png
Marcel Monsberger;Stürmer;FC Vaduz;2001-03-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541868_114150935.png
Ranjan Neelakandan;Stürmer;FC Vaduz;2005-01-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541912_114150979.png
Daniel Kasper;Stürmer;FC Vaduz;2002-06-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5681584/media_117908542_117518621.png
Dejan Djokic;Stürmer;FC Vaduz;2000-09-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5681584/media_117908529_117518608.png
Lado Akhalaia;Stürmer;FC Vaduz;2002-07-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541928_114150995.png
Dejan Sorgic;Stürmer;FC Vaduz;1989-09-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5373005/media_114541945_114151012.png
Silas Huber;Torwart;FC Zürich;2005-07-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793049_115402703.png
Yevhen Morozov;Torwart;FC Zürich;2007-02-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5918937/media_120406852_120019936.png
Heinz Lindner;Torwart;FC Zürich;1990-07-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793074_115402728.png
Tyrese Pinthus-Duah;Torwart;FC Zürich;2008-09-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793210_115402864.png
Nico Wenger;Torwart;FC Zürich;2007-07-08;
Lindrit Kamberi;Verteidiger;FC Zürich;1999-10-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792990_115402644.png
Selmin Hodza;Verteidiger;FC Zürich;2003-05-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793142_115402796.png
Jorge Segura;Verteidiger;FC Zürich;1997-01-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793018_115402672.png
Chris Kablan;Verteidiger;FC Zürich;1994-11-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792980_115402634.png
Ilan Sauter;Verteidiger;FC Zürich;2001-02-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793009_115402663.png
Alexander Hack;Verteidiger;FC Zürich;1993-09-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5918937/media_120406855_120019940.png
Neil Volken;Verteidiger;FC Zürich;2007-04-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/6014633/media_122519762_122133699.png
Sebastian Walker;Verteidiger;FC Zürich;2005-10-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793158_115402812.png
Doron Lichtenstein;Verteidiger;FC Zürich;2006-02-12;
Kelechi Ihendu;Verteidiger;FC Zürich;2005-09-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793235_115402889.png
Cosimo Fiorini;Mittelfeldspieler;FC Zürich;2006-05-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793123_115402777.png
Bledian Krasniqi;Mittelfeldspieler;FC Zürich;2001-06-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792952_115402606.png
Livano Comenencia;Mittelfeldspieler;FC Zürich;2004-02-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792934_115402587.png
Nevio Di Giusto;Mittelfeldspieler;FC Zürich;2005-03-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793090_115402744.png
Kevin Spadanuda;Mittelfeldspieler;FC Zürich;1997-01-16;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792962_115402616.png
Mohamed Bangoura;Mittelfeldspieler;FC Zürich;2006-02-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793225_115402879.png
Leandro Schödler;Mittelfeldspieler;FC Zürich;2006-05-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792918_115402572.png
Valon Berisha;Mittelfeldspieler;FC Zürich;1993-02-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793100_115402754.png
Mohamed Essakkati;Mittelfeldspieler;FC Zürich;2005-04-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793041_115402695.png
Melvin Hodza;Mittelfeldspieler;FC Zürich;2007-05-15;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793200_115402854.png
Miguel Reichmuth;Mittelfeldspieler;FC Zürich;2003-10-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793114_115402768.png
Jill Stiel;Mittelfeldspieler;FC Zürich;2008-05-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793181_115402835.png
Juan José Perea;Stürmer;FC Zürich;2000-02-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792998_115402652.png
Umeh Emmanuel;Stürmer;FC Zürich;2004-08-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793059_115402713.png
Philippe Kény;Stürmer;FC Zürich;1999-05-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115792942_115402596.png
Mario Greco;Stürmer;FC Zürich;2006-09-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793132_115402786.png
Damienus Reverson;Stürmer;FC Zürich;2003-10-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793027_115402681.png
Din Ramic;Stürmer;FC Zürich;2008-12-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5429350/media_115793218_115402872.png
Marvin Hübel;Torwart;Grasshopper Club Zürich;2003-03-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961719_115571427.png
Eron Avdullahu;Torwart;Grasshopper Club Zürich;2007-02-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137854_115747697.png
Justin Hammel;Torwart;Grasshopper Club Zürich;2000-12-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961710_115571418.png
Luka Mikulic;Verteidiger;Grasshopper Club Zürich;2005-05-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137864_115747707.png
Abdoulaye Diaby;Verteidiger;Grasshopper Club Zürich;2000-07-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137841_115747684.png
Pantaleo Creti;Verteidiger;Grasshopper Club Zürich;2008-07-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137880_115747723.png
Simone Stroscio;Verteidiger;Grasshopper Club Zürich;2003-08-20;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137890_115747733.png
Ismajl Beka;Verteidiger;Grasshopper Club Zürich;1999-10-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137858_115747701.png
Maximilian Ullmann;Verteidiger;Grasshopper Club Zürich;1996-06-17;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137872_115747715.png
Allan Arigoni;Verteidiger;Grasshopper Club Zürich;1998-11-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137844_115747687.png
Bujar Pllana;Verteidiger;Grasshopper Club Zürich;2001-10-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5978161/media_121537855_121151468.png
Nico Rissi;Verteidiger;Grasshopper Club Zürich;2004-01-30;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137874_115747717.png
Yannick Bettkober;Verteidiger;Grasshopper Club Zürich;2005-03-18;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137894_115747737.png
Dorian Paloschi;Verteidiger;Grasshopper Club Zürich;2005-11-21;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961701_115571409.png
Imourane Hassane;Mittelfeldspieler;Grasshopper Club Zürich;2003-04-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137856_115747699.png
Amir Abrashi;Mittelfeldspieler;Grasshopper Club Zürich;1990-03-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137846_115747689.png
Tim Meyer;Mittelfeldspieler;Grasshopper Club Zürich;2004-07-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137892_115747735.png
Óscar Clemente;Mittelfeldspieler;Grasshopper Club Zürich;1999-03-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137878_115747721.png
Giotto Morandi;Mittelfeldspieler;Grasshopper Club Zürich;1999-03-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5978161/media_121537856_121151467.png
Matteo Mantini;Mittelfeldspieler;Grasshopper Club Zürich;2007-08-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137870_115747713.png
Samuel Krasniqi;Mittelfeldspieler;Grasshopper Club Zürich;2005-01-03;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137882_115747725.png
Samuel Marques;Mittelfeldspieler;Grasshopper Club Zürich;2005-02-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137884_115747727.png
Dominik Papic;Mittelfeldspieler;Grasshopper Club Zürich;2008-05-14;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137850_115747693.png
Denis Sahin;Mittelfeldspieler;Grasshopper Club Zürich;2008-06-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137848_115747691.png
Manex Guibelalde;Mittelfeldspieler;Grasshopper Club Zürich;2004-04-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5978161/media_121537903_121151515.png
Luke Plange;Stürmer;Grasshopper Club Zürich;2002-11-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961717_115571425.png
Nikolas Muci;Stürmer;Grasshopper Club Zürich;2003-02-08;https://cdn.scoreplay.io/scoreplay-mam-media/322/5445919/media_116137876_115747719.png
Young-Jun Lee;Stürmer;Grasshopper Club Zürich;2003-05-23;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961765_115571473.png
Diego Ferrazza;Stürmer;Grasshopper Club Zürich;2007-05-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5978161/media_121537852_121151465.png
Demis Fiechter;Stürmer;Grasshopper Club Zürich;2005-12-30;
Miguel Mahafaly Martins Correia;Stürmer;Grasshopper Club Zürich;2007-01-05;
Samuele Bengondo;Stürmer;Grasshopper Club Zürich;2005-12-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433424/media_115961740_115571448.png
Julian von Moos;Stürmer;Grasshopper Club Zürich;2001-04-01;
Edvinas Gertmonas;Torwart;Servette FC;1996-06-01;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669908_115279441.png
Jérémy Frick;Torwart;Servette FC;1993-03-08;
Louis Rieder;Torwart;Servette FC;2003-06-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669951_115279486.png
Léo Besson;Torwart;Servette FC;2002-10-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669956_115279491.png
Steve Rouiller;Verteidiger;Servette FC;1990-07-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669831_115279366.png
Lilian Njoh;Verteidiger;Servette FC;2001-11-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669907_115279443.png
Marco Burch;Verteidiger;Servette FC;2000-10-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669834_115279369.png
Houboulang Mendes;Verteidiger;Servette FC;1998-05-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669888_115279423.png
Bradley Mazikou;Verteidiger;Servette FC;1996-06-02;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669899_115279434.png
Yoan Severin;Verteidiger;Servette FC;1997-01-24;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669846_115279381.png
Quentin Maceiras;Verteidiger;Servette FC;1995-10-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669910_115279445.png
Dylan Bronn;Verteidiger;Servette FC;1995-06-19;
Téo Allix;Verteidiger;Servette FC;2004-07-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669940_115279475.png
Sylvain Claude Djoho Filho;Verteidiger;Servette FC;2007-08-05;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669886_115279421.png
Pedro Henrique Naressi Machado;Mittelfeldspieler;Servette FC;1998-01-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669928_115279463.png
Timothé Cognat;Mittelfeldspieler;Servette FC;1998-01-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669874_115279409.png
Miroslav Stevanovic;Mittelfeldspieler;Servette FC;1990-07-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669875_115279410.png
Lamine Fomba;Mittelfeldspieler;Servette FC;1998-01-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669890_115279425.png
Jarell Njiké Simo;Mittelfeldspieler;Servette FC;2004-01-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669966_115279501.png
David Douline;Mittelfeldspieler;Servette FC;1993-05-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669850_115279385.png
Ablie Jallow;Mittelfeldspieler;Servette FC;1998-11-14;
Alonzo Vincent;Mittelfeldspieler;Servette FC;2008-10-06;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669866_115279401.png
Thomas Lopes;Mittelfeldspieler;Servette FC;2007-01-27;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669942_115279477.png
Ivan Izquierdo;Mittelfeldspieler;Servette FC;2009-03-03;
Kingstone Mutandwa;Stürmer;Servette FC;2003-01-05;
Mathis Lambourde;Stürmer;Servette FC;2006-01-09;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669931_115279466.png
Datro Fofana;Stürmer;Servette FC;2002-12-22;
Jemy Sida;Stürmer;Servette FC;2007-09-24;
Tristan Nunez;Stürmer;Servette FC;2009-06-02;
Tiemoko Ouattara;Stürmer;Servette FC;2005-05-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669949_115279484.png
Samuel Mráz;Stürmer;Servette FC;1997-05-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5426796/media_115669918_115279453.png
